,VERSION_ID,SERIAL_NO,COLUMN_NO,COLUMN_VALUE
0,9999.0,12010001.0,1,2010.0
1,9999.0,12010002.0,1,2010.0
2,9999.0,12010003.0,1,2010.0
3,9999.0,12010004.0,1,2010.0
4,9999.0,12010005.0,1,2010.0
5,9999.0,12010006.0,1,2010.0
6,9999.0,12010007.0,1,2010.0
7,9999.0,12010008.0,1,2010.0
8,9999.0,12010009.0,1,2010.0
9,9999.0,12010010.0,1,2010.0
10,9999.0,12010011.0,1,2010.0
11,9999.0,12010012.0,1,2010.0
12,9999.0,12010013.0,1,2010.0
13,9999.0,12010014.0,1,2010.0
14,9999.0,12010015.0,1,2010.0
15,9999.0,12010016.0,1,2010.0
16,9999.0,12010017.0,1,2010.0
17,9999.0,12010018.0,1,2010.0
18,9999.0,12010019.0,1,2010.0
19,9999.0,12010020.0,1,2010.0
20,9999.0,12010021.0,1,2010.0
21,9999.0,12010022.0,1,2010.0
22,9999.0,12010023.0,1,2010.0
23,9999.0,12010024.0,1,2010.0
24,9999.0,12010025.0,1,2010.0
25,9999.0,12010026.0,1,2010.0
26,9999.0,12010027.0,1,2010.0
27,9999.0,12010028.0,1,2010.0
28,9999.0,12010029.0,1,2010.0
29,9999.0,12010030.0,1,2010.0
30,9999.0,12010031.0,1,2010.0
31,9999.0,12010032.0,1,2010.0
32,9999.0,12010033.0,1,2010.0
33,9999.0,13010001.0,1,3010.0
34,9999.0,13010002.0,1,3010.0
35,9999.0,13010003.0,1,3010.0
36,9999.0,13010004.0,1,3010.0
37,9999.0,13010005.0,1,3010.0
38,9999.0,13010006.0,1,3010.0
39,9999.0,13010007.0,1,3010.0
40,9999.0,13010008.0,1,3010.0
41,9999.0,13010009.0,1,3010.0
42,9999.0,13010010.0,1,3010.0
43,9999.0,13010011.0,1,3010.0
44,9999.0,13010012.0,1,3010.0
45,9999.0,13010013.0,1,3010.0
46,9999.0,13010014.0,1,3010.0
47,9999.0,13010015.0,1,3010.0
48,9999.0,13010016.0,1,3010.0
49,9999.0,13010017.0,1,3010.0
50,9999.0,13010018.0,1,3010.0
51,9999.0,13010019.0,1,3010.0
52,9999.0,13010020.0,1,3010.0
53,9999.0,13010021.0,1,3010.0
54,9999.0,13010022.0,1,3010.0
55,9999.0,13010023.0,1,3010.0
56,9999.0,13010024.0,1,3010.0
57,9999.0,13010025.0,1,3010.0
58,9999.0,13010026.0,1,3010.0
59,9999.0,13010027.0,1,3010.0
60,9999.0,13010028.0,1,3010.0
61,9999.0,13010029.0,1,3010.0
62,9999.0,13010030.0,1,3010.0
63,9999.0,13010031.0,1,3010.0
64,9999.0,13010032.0,1,3010.0
65,9999.0,13010033.0,1,3010.0
66,9999.0,13010034.0,1,3010.0
67,9999.0,13010035.0,1,3010.0
68,9999.0,13010036.0,1,3010.0
69,9999.0,13010037.0,1,3010.0
70,9999.0,13010038.0,1,3010.0
71,9999.0,11020001.0,1,1020.0
72,9999.0,11020002.0,1,1020.0
73,9999.0,11020003.0,1,1020.0
74,9999.0,11020004.0,1,1020.0
75,9999.0,11020005.0,1,1020.0
76,9999.0,11020006.0,1,1020.0
77,9999.0,11020007.0,1,1020.0
78,9999.0,11020008.0,1,1020.0
79,9999.0,11020009.0,1,1020.0
80,9999.0,11020010.0,1,1020.0
81,9999.0,11020011.0,1,1020.0
82,9999.0,11020012.0,1,1020.0
83,9999.0,11020013.0,1,1020.0
84,9999.0,11020014.0,1,1020.0
85,9999.0,11020015.0,1,1020.0
86,9999.0,11020016.0,1,1020.0
87,9999.0,11020017.0,1,1020.0
88,9999.0,11020018.0,1,1020.0
89,9999.0,11020019.0,1,1020.0
90,9999.0,11020020.0,1,1020.0
91,9999.0,11020021.0,1,1020.0
92,9999.0,11020022.0,1,1020.0
93,9999.0,11020023.0,1,1020.0
94,9999.0,11020024.0,1,1020.0
95,9999.0,11020025.0,1,1020.0
96,9999.0,11020026.0,1,1020.0
97,9999.0,11020027.0,1,1020.0
98,9999.0,11020028.0,1,1020.0
99,9999.0,11020029.0,1,1020.0
100,9999.0,12010001.0,2,1.0
101,9999.0,12010002.0,2,2.0
102,9999.0,12010003.0,2,3.0
103,9999.0,12010004.0,2,4.0
104,9999.0,12010005.0,2,5.0
105,9999.0,12010006.0,2,6.0
106,9999.0,12010007.0,2,7.0
107,9999.0,12010008.0,2,8.0
108,9999.0,12010009.0,2,9.0
109,9999.0,12010010.0,2,10.0
110,9999.0,12010011.0,2,11.0
111,9999.0,12010012.0,2,12.0
112,9999.0,12010013.0,2,13.0
113,9999.0,12010014.0,2,14.0
114,9999.0,12010015.0,2,15.0
